GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pruebasunitarias,edu.unisabana.tyvs.domain.model,Gender,0,21,0,0,0,4,0,1,0,1
pruebasunitarias,edu.unisabana.tyvs.domain.model,RegisterResult,0,64,0,0,0,7,0,1,0,1
pruebasunitarias,edu.unisabana.tyvs.domain.model,Person,0,33,0,0,0,8,0,6,0,6
pruebasunitarias,edu.unisabana.tyvs.tdd,App,7,0,0,0,3,0,2,0,2,0
pruebasunitarias,edu.unisabana.tyvs.domain.service,Registry,0,52,0,12,0,16,0,8,0,2
